Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]	Total_mass_density
2.267000e+01	1.209000e+02	3.620000e+01	2.934342e+21	1.869478e+22	8.250851e+01
1.011000e+02	1.568000e+02	6.703000e-01	4.189399e+19	2.671864e+20	1.528991e+00
2.010000e+02	1.574000e+02	1.117000e-02	6.949537e+17	4.431358e+18	2.545690e-02
3.016000e+02	1.981000e+02	2.022000e-04	9.625835e+15	6.412048e+16	4.588952e-04
3.503000e+02	2.085000e+02	4.309000e-05	1.634646e+15	1.330770e+16	9.605629e-05
4.003000e+02	3.784000e+02	1.438000e-05	1.884410e+14	2.559891e+15	3.089955e-05
5.000000e+02	5.482000e+02	4.222000e-06	1.433092e+13	5.419977e+14	8.703467e-06
6.000000e+02	6.710000e+02	1.736000e-06	2.102572e+12	1.845091e+14	3.523637e-06
6.996000e+02	7.432000e+02	7.776000e-07	3.914277e+11	7.492071e+13	1.565754e-06
7.983000e+02	8.736000e+02	3.996000e-07	8.895859e+10	3.275399e+13	8.006569e-07
9.006000e+02	8.635000e+02	2.110000e-07	2.523890e+10	1.746192e+13	4.208553e-07
1.001000e+03	8.801000e+02	1.117000e-07	6.954418e+09	9.034769e+12	2.216390e-07
