Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]	Total_mass_density
2.267000e+01	1.209000e+02	3.620000e+01	2.934342e+21	1.869478e+22	8.250851e+01
2.367000e+01	1.213577e+02	3.574699e+01	2.897463e+21	1.845982e+22	8.147600e+01
2.467000e+01	1.218155e+02	3.529398e+01	2.860583e+21	1.822487e+22	8.044350e+01
2.567000e+01	1.222732e+02	3.484097e+01	2.823704e+21	1.798991e+22	7.941099e+01
2.667000e+01	1.227309e+02	3.438795e+01	2.786825e+21	1.775496e+22	7.837848e+01
2.767000e+01	1.231887e+02	3.393494e+01	2.749945e+21	1.752000e+22	7.734598e+01
2.867000e+01	1.236464e+02	3.348193e+01	2.713066e+21	1.728504e+22	7.631347e+01
2.967000e+01	1.241041e+02	3.302892e+01	2.676186e+21	1.705009e+22	7.528096e+01
3.067000e+01	1.245619e+02	3.257591e+01	2.639307e+21	1.681513e+22	7.424845e+01
3.167000e+01	1.250196e+02	3.212290e+01	2.602428e+21	1.658018e+22	7.321595e+01
3.267000e+01	1.254773e+02	3.166988e+01	2.565548e+21	1.634522e+22	7.218344e+01
3.367000e+01	1.259351e+02	3.121687e+01	2.528669e+21	1.611026e+22	7.115093e+01
3.467000e+01	1.263928e+02	3.076386e+01	2.491790e+21	1.587531e+22	7.011843e+01
3.567000e+01	1.268505e+02	3.031085e+01	2.454910e+21	1.564035e+22	6.908592e+01
3.667000e+01	1.273083e+02	2.985784e+01	2.418031e+21	1.540540e+22	6.805341e+01
3.767000e+01	1.277660e+02	2.940483e+01	2.381152e+21	1.517044e+22	6.702091e+01
3.867000e+01	1.282237e+02	2.895181e+01	2.344272e+21	1.493549e+22	6.598840e+01
3.967000e+01	1.286815e+02	2.849880e+01	2.307393e+21	1.470053e+22	6.495589e+01
4.067000e+01	1.291392e+02	2.804579e+01	2.270514e+21	1.446557e+22	6.392339e+01
4.167000e+01	1.295969e+02	2.759278e+01	2.233634e+21	1.423062e+22	6.289088e+01
4.267000e+01	1.300547e+02	2.713977e+01	2.196755e+21	1.399566e+22	6.185837e+01
4.367000e+01	1.305124e+02	2.668676e+01	2.159875e+21	1.376071e+22	6.082586e+01
4.467000e+01	1.309701e+02	2.623374e+01	2.122996e+21	1.352575e+22	5.979336e+01
4.567000e+01	1.314279e+02	2.578073e+01	2.086117e+21	1.329079e+22	5.876085e+01
4.667000e+01	1.318856e+02	2.532772e+01	2.049237e+21	1.305584e+22	5.772834e+01
4.767000e+01	1.323433e+02	2.487471e+01	2.012358e+21	1.282088e+22	5.669584e+01
4.867000e+01	1.328011e+02	2.442170e+01	1.975479e+21	1.258593e+22	5.566333e+01
4.967000e+01	1.332588e+02	2.396869e+01	1.938599e+21	1.235097e+22	5.463082e+01
5.067000e+01	1.337165e+02	2.351568e+01	1.901720e+21	1.211601e+22	5.359832e+01
5.167000e+01	1.341743e+02	2.306266e+01	1.864841e+21	1.188106e+22	5.256581e+01
5.267000e+01	1.346320e+02	2.260965e+01	1.827961e+21	1.164610e+22	5.153330e+01
5.367000e+01	1.350897e+02	2.215664e+01	1.791082e+21	1.141115e+22	5.050079e+01
5.467000e+01	1.355475e+02	2.170363e+01	1.754203e+21	1.117619e+22	4.946829e+01
5.567000e+01	1.360052e+02	2.125062e+01	1.717323e+21	1.094123e+22	4.843578e+01
5.667000e+01	1.364629e+02	2.079761e+01	1.680444e+21	1.070628e+22	4.740327e+01
5.767000e+01	1.369207e+02	2.034459e+01	1.643564e+21	1.047132e+22	4.637077e+01
5.867000e+01	1.373784e+02	1.989158e+01	1.606685e+21	1.023637e+22	4.533826e+01
5.967000e+01	1.378361e+02	1.943857e+01	1.569806e+21	1.000141e+22	4.430575e+01
6.067000e+01	1.382939e+02	1.898556e+01	1.532926e+21	9.766455e+21	4.327325e+01
6.167000e+01	1.387516e+02	1.853255e+01	1.496047e+21	9.531499e+21	4.224074e+01
6.267000e+01	1.392093e+02	1.807954e+01	1.459168e+21	9.296543e+21	4.120823e+01
6.367000e+01	1.396671e+02	1.762652e+01	1.422288e+21	9.061587e+21	4.017573e+01
6.467000e+01	1.401248e+02	1.717351e+01	1.385409e+21	8.826631e+21	3.914322e+01
6.567000e+01	1.405825e+02	1.672050e+01	1.348530e+21	8.591675e+21	3.811071e+01
6.667000e+01	1.410403e+02	1.626749e+01	1.311650e+21	8.356719e+21	3.707820e+01
6.767000e+01	1.414980e+02	1.581448e+01	1.274771e+21	8.121763e+21	3.604570e+01
6.867000e+01	1.419557e+02	1.536147e+01	1.237892e+21	7.886807e+21	3.501319e+01
6.967000e+01	1.424135e+02	1.490845e+01	1.201012e+21	7.651851e+21	3.398068e+01
7.067000e+01	1.428712e+02	1.445544e+01	1.164133e+21	7.416895e+21	3.294818e+01
7.167000e+01	1.433289e+02	1.400243e+01	1.127253e+21	7.181939e+21	3.191567e+01
7.267000e+01	1.437867e+02	1.354942e+01	1.090374e+21	6.946983e+21	3.088316e+01
7.367000e+01	1.442444e+02	1.309641e+01	1.053495e+21	6.712028e+21	2.985066e+01
7.467000e+01	1.447021e+02	1.264340e+01	1.016615e+21	6.477072e+21	2.881815e+01
7.567000e+01	1.451598e+02	1.219039e+01	9.797361e+20	6.242116e+21	2.778564e+01
7.667000e+01	1.456176e+02	1.173737e+01	9.428567e+20	6.007160e+21	2.675314e+01
7.767000e+01	1.460753e+02	1.128436e+01	9.059773e+20	5.772204e+21	2.572063e+01
7.867000e+01	1.465330e+02	1.083135e+01	8.690980e+20	5.537248e+21	2.468812e+01
7.967000e+01	1.469908e+02	1.037834e+01	8.322186e+20	5.302292e+21	2.365561e+01
8.067000e+01	1.474485e+02	9.925327e+00	7.953393e+20	5.067336e+21	2.262311e+01
8.167000e+01	1.479062e+02	9.472315e+00	7.584599e+20	4.832380e+21	2.159060e+01
8.267000e+01	1.483640e+02	9.019304e+00	7.215805e+20	4.597424e+21	2.055809e+01
8.367000e+01	1.488217e+02	8.566292e+00	6.847012e+20	4.362468e+21	1.952559e+01
8.467000e+01	1.492794e+02	8.113281e+00	6.478218e+20	4.127512e+21	1.849308e+01
8.567000e+01	1.497372e+02	7.660269e+00	6.109425e+20	3.892556e+21	1.746057e+01
8.667000e+01	1.501949e+02	7.207257e+00	5.740631e+20	3.657600e+21	1.642807e+01
8.767000e+01	1.506526e+02	6.754246e+00	5.371838e+20	3.422645e+21	1.539556e+01
8.867000e+01	1.511104e+02	6.301234e+00	5.003044e+20	3.187689e+21	1.436305e+01
8.967000e+01	1.515681e+02	5.848223e+00	4.634250e+20	2.952733e+21	1.333055e+01
9.067000e+01	1.520258e+02	5.395211e+00	4.265457e+20	2.717777e+21	1.229804e+01
9.167000e+01	1.524836e+02	4.942199e+00	3.896663e+20	2.482821e+21	1.126553e+01
9.267000e+01	1.529413e+02	4.489188e+00	3.527870e+20	2.247865e+21	1.023302e+01
9.367000e+01	1.533990e+02	4.036176e+00	3.159076e+20	2.012909e+21	9.200518e+00
9.467000e+01	1.538568e+02	3.583165e+00	2.790283e+20	1.777953e+21	8.168011e+00
9.567000e+01	1.543145e+02	3.130153e+00	2.421489e+20	1.542997e+21	7.135504e+00
9.667000e+01	1.547722e+02	2.677141e+00	2.052695e+20	1.308041e+21	6.102997e+00
9.767000e+01	1.552300e+02	2.224130e+00	1.683902e+20	1.073085e+21	5.070490e+00
9.867000e+01	1.556877e+02	1.771118e+00	1.315108e+20	8.381293e+20	4.037983e+00
9.967000e+01	1.561454e+02	1.318107e+00	9.463147e+19	6.031734e+20	3.005476e+00
1.006700e+02	1.566032e+02	8.650950e-01	5.775211e+19	3.682174e+20	1.972969e+00
1.016700e+02	1.568034e+02	6.665392e-01	4.165892e+19	2.656872e+20	1.520412e+00
1.026700e+02	1.568094e+02	6.599413e-01	4.124652e+19	2.630570e+20	1.505362e+00
1.036700e+02	1.568154e+02	6.533434e-01	4.083411e+19	2.604268e+20	1.490311e+00
1.046700e+02	1.568214e+02	6.467455e-01	4.042171e+19	2.577967e+20	1.475261e+00
1.056700e+02	1.568274e+02	6.401476e-01	4.000931e+19	2.551665e+20	1.460211e+00
1.066700e+02	1.568335e+02	6.335497e-01	3.959691e+19	2.525363e+20	1.445160e+00
1.076700e+02	1.568395e+02	6.269518e-01	3.918450e+19	2.499061e+20	1.430110e+00
1.086700e+02	1.568455e+02	6.203539e-01	3.877210e+19	2.472759e+20	1.415060e+00
1.096700e+02	1.568515e+02	6.137560e-01	3.835970e+19	2.446458e+20	1.400009e+00
1.106700e+02	1.568575e+02	6.071581e-01	3.794730e+19	2.420156e+20	1.384959e+00
1.116700e+02	1.568635e+02	6.005602e-01	3.753489e+19	2.393854e+20	1.369908e+00
1.126700e+02	1.568695e+02	5.939623e-01	3.712249e+19	2.367552e+20	1.354858e+00
1.136700e+02	1.568755e+02	5.873644e-01	3.671009e+19	2.341250e+20	1.339808e+00
1.146700e+02	1.568815e+02	5.807665e-01	3.629768e+19	2.314948e+20	1.324757e+00
1.156700e+02	1.568875e+02	5.741686e-01	3.588528e+19	2.288647e+20	1.309707e+00
1.166700e+02	1.568935e+02	5.675707e-01	3.547288e+19	2.262345e+20	1.294656e+00
1.176700e+02	1.568995e+02	5.609728e-01	3.506048e+19	2.236043e+20	1.279606e+00
1.186700e+02	1.569055e+02	5.543749e-01	3.464807e+19	2.209741e+20	1.264556e+00
1.196700e+02	1.569115e+02	5.477770e-01	3.423567e+19	2.183439e+20	1.249505e+00
1.206700e+02	1.569175e+02	5.411791e-01	3.382327e+19	2.157138e+20	1.234455e+00
1.216700e+02	1.569235e+02	5.345812e-01	3.341087e+19	2.130836e+20	1.219404e+00
1.226700e+02	1.569295e+02	5.279833e-01	3.299846e+19	2.104534e+20	1.204354e+00
1.236700e+02	1.569356e+02	5.213854e-01	3.258606e+19	2.078232e+20	1.189304e+00
1.246700e+02	1.569416e+02	5.147875e-01	3.217366e+19	2.051930e+20	1.174253e+00
1.256700e+02	1.569476e+02	5.081896e-01	3.176125e+19	2.025629e+20	1.159203e+00
1.266700e+02	1.569536e+02	5.015918e-01	3.134885e+19	1.999327e+20	1.144152e+00
1.276700e+02	1.569596e+02	4.949939e-01	3.093645e+19	1.973025e+20	1.129102e+00
1.286700e+02	1.569656e+02	4.883960e-01	3.052405e+19	1.946723e+20	1.114052e+00
1.296700e+02	1.569716e+02	4.817981e-01	3.011164e+19	1.920421e+20	1.099001e+00
1.306700e+02	1.569776e+02	4.752002e-01	2.969924e+19	1.894120e+20	1.083951e+00
1.316700e+02	1.569836e+02	4.686023e-01	2.928684e+19	1.867818e+20	1.068901e+00
1.326700e+02	1.569896e+02	4.620044e-01	2.887443e+19	1.841516e+20	1.053850e+00
1.336700e+02	1.569956e+02	4.554065e-01	2.846203e+19	1.815214e+20	1.038800e+00
1.346700e+02	1.570016e+02	4.488086e-01	2.804963e+19	1.788912e+20	1.023749e+00
1.356700e+02	1.570076e+02	4.422107e-01	2.763723e+19	1.762611e+20	1.008699e+00
1.366700e+02	1.570136e+02	4.356128e-01	2.722482e+19	1.736309e+20	9.936486e-01
1.376700e+02	1.570196e+02	4.290149e-01	2.681242e+19	1.710007e+20	9.785982e-01
1.386700e+02	1.570256e+02	4.224170e-01	2.640002e+19	1.683705e+20	9.635478e-01
1.396700e+02	1.570317e+02	4.158191e-01	2.598762e+19	1.657403e+20	9.484974e-01
1.406700e+02	1.570377e+02	4.092212e-01	2.557521e+19	1.631102e+20	9.334470e-01
1.416700e+02	1.570437e+02	4.026233e-01	2.516281e+19	1.604800e+20	9.183966e-01
1.426700e+02	1.570497e+02	3.960254e-01	2.475041e+19	1.578498e+20	9.033462e-01
1.436700e+02	1.570557e+02	3.894275e-01	2.433800e+19	1.552196e+20	8.882958e-01
1.446700e+02	1.570617e+02	3.828296e-01	2.392560e+19	1.525894e+20	8.732454e-01
1.456700e+02	1.570677e+02	3.762317e-01	2.351320e+19	1.499593e+20	8.581951e-01
1.466700e+02	1.570737e+02	3.696338e-01	2.310080e+19	1.473291e+20	8.431447e-01
1.476700e+02	1.570797e+02	3.630359e-01	2.268839e+19	1.446989e+20	8.280943e-01
1.486700e+02	1.570857e+02	3.564380e-01	2.227599e+19	1.420687e+20	8.130439e-01
1.496700e+02	1.570917e+02	3.498401e-01	2.186359e+19	1.394385e+20	7.979935e-01
1.506700e+02	1.570977e+02	3.432422e-01	2.145118e+19	1.368083e+20	7.829431e-01
1.516700e+02	1.571037e+02	3.366443e-01	2.103878e+19	1.341782e+20	7.678927e-01
1.526700e+02	1.571097e+02	3.300464e-01	2.062638e+19	1.315480e+20	7.528423e-01
1.536700e+02	1.571157e+02	3.234485e-01	2.021398e+19	1.289178e+20	7.377919e-01
1.546700e+02	1.571217e+02	3.168506e-01	1.980157e+19	1.262876e+20	7.227415e-01
1.556700e+02	1.571277e+02	3.102527e-01	1.938917e+19	1.236574e+20	7.076911e-01
1.566700e+02	1.571338e+02	3.036548e-01	1.897677e+19	1.210273e+20	6.926408e-01
1.576700e+02	1.571398e+02	2.970569e-01	1.856437e+19	1.183971e+20	6.775904e-01
1.586700e+02	1.571458e+02	2.904590e-01	1.815196e+19	1.157669e+20	6.625400e-01
1.596700e+02	1.571518e+02	2.838611e-01	1.773956e+19	1.131367e+20	6.474896e-01
1.606700e+02	1.571578e+02	2.772632e-01	1.732716e+19	1.105065e+20	6.324392e-01
1.616700e+02	1.571638e+02	2.706653e-01	1.691475e+19	1.078764e+20	6.173888e-01
1.626700e+02	1.571698e+02	2.640674e-01	1.650235e+19	1.052462e+20	6.023384e-01
1.636700e+02	1.571758e+02	2.574695e-01	1.608995e+19	1.026160e+20	5.872880e-01
1.646700e+02	1.571818e+02	2.508716e-01	1.567755e+19	9.998582e+19	5.722376e-01
1.656700e+02	1.571878e+02	2.442737e-01	1.526514e+19	9.735564e+19	5.571872e-01
1.666700e+02	1.571938e+02	2.376758e-01	1.485274e+19	9.472546e+19	5.421368e-01
1.676700e+02	1.571998e+02	2.310779e-01	1.444034e+19	9.209528e+19	5.270864e-01
1.686700e+02	1.572058e+02	2.244800e-01	1.402794e+19	8.946510e+19	5.120361e-01
1.696700e+02	1.572118e+02	2.178821e-01	1.361553e+19	8.683492e+19	4.969857e-01
1.706700e+02	1.572178e+02	2.112842e-01	1.320313e+19	8.420474e+19	4.819353e-01
1.716700e+02	1.572238e+02	2.046863e-01	1.279073e+19	8.157456e+19	4.668849e-01
1.726700e+02	1.572298e+02	1.980884e-01	1.237832e+19	7.894437e+19	4.518345e-01
1.736700e+02	1.572359e+02	1.914905e-01	1.196592e+19	7.631419e+19	4.367841e-01
1.746700e+02	1.572419e+02	1.848927e-01	1.155352e+19	7.368401e+19	4.217337e-01
1.756700e+02	1.572479e+02	1.782948e-01	1.114112e+19	7.105383e+19	4.066833e-01
1.766700e+02	1.572539e+02	1.716969e-01	1.072871e+19	6.842365e+19	3.916329e-01
1.776700e+02	1.572599e+02	1.650990e-01	1.031631e+19	6.579347e+19	3.765825e-01
1.786700e+02	1.572659e+02	1.585011e-01	9.903907e+18	6.316329e+19	3.615321e-01
1.796700e+02	1.572719e+02	1.519032e-01	9.491505e+18	6.053311e+19	3.464817e-01
1.806700e+02	1.572779e+02	1.453053e-01	9.079102e+18	5.790293e+19	3.314314e-01
1.816700e+02	1.572839e+02	1.387074e-01	8.666699e+18	5.527275e+19	3.163810e-01
