Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]	Total_mass_density
0.000000e+00	1.068015e+02	5.015341e+01	4.070210e+21	2.593132e+22	1.143112e+02
1.000000e+00	1.074224e+02	4.953892e+01	4.020190e+21	2.561265e+22	1.129107e+02
2.000000e+00	1.080432e+02	4.892444e+01	3.970170e+21	2.529398e+22	1.115101e+02
3.000000e+00	1.086641e+02	4.830996e+01	3.920151e+21	2.497530e+22	1.101096e+02
4.000000e+00	1.092850e+02	4.769547e+01	3.870131e+21	2.465663e+22	1.087091e+02
5.000000e+00	1.099058e+02	4.708099e+01	3.820111e+21	2.433796e+22	1.073085e+02
6.000000e+00	1.105267e+02	4.646651e+01	3.770091e+21	2.401928e+22	1.059080e+02
7.000000e+00	1.111476e+02	4.585203e+01	3.720071e+21	2.370061e+22	1.045075e+02
8.000000e+00	1.117684e+02	4.523754e+01	3.670051e+21	2.338194e+22	1.031069e+02
9.000000e+00	1.123893e+02	4.462306e+01	3.620031e+21	2.306326e+22	1.017064e+02
1.000000e+01	1.130101e+02	4.400858e+01	3.570012e+21	2.274459e+22	1.003059e+02
1.100000e+01	1.136310e+02	4.339409e+01	3.519992e+21	2.242592e+22	9.890534e+01
1.200000e+01	1.142519e+02	4.277961e+01	3.469972e+21	2.210724e+22	9.750480e+01
1.300000e+01	1.148727e+02	4.216513e+01	3.419952e+21	2.178857e+22	9.610427e+01
1.400000e+01	1.154936e+02	4.155065e+01	3.369932e+21	2.146990e+22	9.470373e+01
1.500000e+01	1.161145e+02	4.093616e+01	3.319912e+21	2.115122e+22	9.330320e+01
1.600000e+01	1.167353e+02	4.032168e+01	3.269892e+21	2.083255e+22	9.190267e+01
1.700000e+01	1.173562e+02	3.970720e+01	3.219873e+21	2.051388e+22	9.050213e+01
1.800000e+01	1.179770e+02	3.909271e+01	3.169853e+21	2.019520e+22	8.910160e+01
1.900000e+01	1.185979e+02	3.847823e+01	3.119833e+21	1.987653e+22	8.770107e+01
2.000000e+01	1.192188e+02	3.786375e+01	3.069813e+21	1.955786e+22	8.630053e+01
2.100000e+01	1.198396e+02	3.724926e+01	3.019793e+21	1.923918e+22	8.490000e+01
2.200000e+01	1.204605e+02	3.663478e+01	2.969773e+21	1.892051e+22	8.349946e+01
2.300000e+01	1.211167e+02	3.598565e+01	2.916874e+21	1.858349e+22	8.201997e+01
2.400000e+01	1.217740e+02	3.533541e+01	2.863880e+21	1.824587e+22	8.053793e+01
2.500000e+01	1.224322e+02	3.468428e+01	2.810811e+21	1.790778e+22	7.905390e+01
2.600000e+01	1.230911e+02	3.403252e+01	2.757687e+21	1.756933e+22	7.756840e+01
2.700000e+01	1.237505e+02	3.338035e+01	2.704527e+21	1.723065e+22	7.608198e+01
2.800000e+01	1.244100e+02	3.272802e+01	2.651351e+21	1.689187e+22	7.459518e+01
2.900000e+01	1.250694e+02	3.207575e+01	2.598178e+21	1.655311e+22	7.310854e+01
3.000000e+01	1.257286e+02	3.142380e+01	2.545027e+21	1.621449e+22	7.162261e+01
3.100000e+01	1.263872e+02	3.077239e+01	2.491919e+21	1.587614e+22	7.013791e+01
3.200000e+01	1.270450e+02	3.012176e+01	2.438872e+21	1.553819e+22	6.865500e+01
3.300000e+01	1.277018e+02	2.947214e+01	2.385906e+21	1.520075e+22	6.717441e+01
3.400000e+01	1.283574e+02	2.882379e+01	2.333041e+21	1.486395e+22	6.569668e+01
3.500000e+01	1.290114e+02	2.817693e+01	2.280296e+21	1.452792e+22	6.422236e+01
3.600000e+01	1.296637e+02	2.753180e+01	2.227691e+21	1.419277e+22	6.275198e+01
3.700000e+01	1.303141e+02	2.688863e+01	2.175244e+21	1.385864e+22	6.128609e+01
3.800000e+01	1.309622e+02	2.624768e+01	2.122977e+21	1.352565e+22	5.982523e+01
3.900000e+01	1.316078e+02	2.560916e+01	2.070907e+21	1.319392e+22	5.836992e+01
4.000000e+01	1.322507e+02	2.497332e+01	2.019055e+21	1.286358e+22	5.692073e+01
4.100000e+01	1.328907e+02	2.434040e+01	1.967440e+21	1.253475e+22	5.547818e+01
4.200000e+01	1.335275e+02	2.371064e+01	1.916082e+21	1.220755e+22	5.404282e+01
4.300000e+01	1.341609e+02	2.308426e+01	1.865000e+21	1.188211e+22	5.261519e+01
4.400000e+01	1.347906e+02	2.246151e+01	1.814214e+21	1.155855e+22	5.119583e+01
4.500000e+01	1.354164e+02	2.184263e+01	1.763742e+21	1.123701e+22	4.978527e+01
4.600000e+01	1.360381e+02	2.122785e+01	1.713605e+21	1.091759e+22	4.838407e+01
4.700000e+01	1.366553e+02	2.061741e+01	1.663823e+21	1.060043e+22	4.699276e+01
4.800000e+01	1.372680e+02	2.001154e+01	1.614414e+21	1.028565e+22	4.561187e+01
4.900000e+01	1.378757e+02	1.941049e+01	1.565398e+21	9.973377e+21	4.424196e+01
5.000000e+01	1.384784e+02	1.881449e+01	1.516795e+21	9.663731e+21	4.288356e+01
5.100000e+01	1.390757e+02	1.822378e+01	1.468624e+21	9.356838e+21	4.153721e+01
5.200000e+01	1.396674e+02	1.763859e+01	1.420904e+21	9.052822e+21	4.020346e+01
5.300000e+01	1.402533e+02	1.705916e+01	1.373656e+21	8.751807e+21	3.888284e+01
5.400000e+01	1.408331e+02	1.648574e+01	1.326898e+21	8.453919e+21	3.757589e+01
5.500000e+01	1.414065e+02	1.591855e+01	1.280651e+21	8.159280e+21	3.628316e+01
5.600000e+01	1.419735e+02	1.535784e+01	1.234933e+21	7.868015e+21	3.500518e+01
5.700000e+01	1.425336e+02	1.480383e+01	1.189764e+21	7.580249e+21	3.374250e+01
5.800000e+01	1.430867e+02	1.425678e+01	1.145163e+21	7.296105e+21	3.249565e+01
5.900000e+01	1.436325e+02	1.371691e+01	1.101151e+21	7.015708e+21	3.126518e+01
6.000000e+01	1.441708e+02	1.318446e+01	1.057747e+21	6.739183e+21	3.005163e+01
