Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]
2.267000e+01	1.209000e+02	3.620000e+01	2.934342e+21	1.869478e+22
2.367000e+01	1.215570e+02	3.555010e+01	2.881377e+21	1.835735e+22
2.467000e+01	1.222149e+02	3.489924e+01	2.828331e+21	1.801939e+22
2.567000e+01	1.228736e+02	3.424766e+01	2.775223e+21	1.768105e+22
2.667000e+01	1.235329e+02	3.359560e+01	2.722073e+21	1.734243e+22
2.767000e+01	1.241923e+02	3.294329e+01	2.668900e+21	1.700367e+22
2.867000e+01	1.248518e+02	3.229098e+01	2.615723e+21	1.666489e+22
2.967000e+01	1.255111e+02	3.163889e+01	2.562563e+21	1.632621e+22
3.067000e+01	1.261699e+02	3.098728e+01	2.509439e+21	1.598776e+22
3.167000e+01	1.268280e+02	3.033636e+01	2.456369e+21	1.564966e+22
3.267000e+01	1.274852e+02	2.968639e+01	2.403375e+21	1.531204e+22
3.367000e+01	1.281412e+02	2.903759e+01	2.350474e+21	1.497501e+22
3.467000e+01	1.287958e+02	2.839021e+01	2.297687e+21	1.463871e+22
3.567000e+01	1.294487e+02	2.774448e+01	2.245034e+21	1.430326e+22
3.667000e+01	1.300997e+02	2.710065e+01	2.192533e+21	1.396879e+22
3.767000e+01	1.307485e+02	2.645893e+01	2.140204e+21	1.363540e+22
3.867000e+01	1.313950e+02	2.581959e+01	2.088067e+21	1.330324e+22
3.967000e+01	1.320389e+02	2.518284e+01	2.036141e+21	1.297243e+22
4.067000e+01	1.326799e+02	2.454893e+01	1.984446e+21	1.264309e+22
4.167000e+01	1.333177e+02	2.391810e+01	1.933001e+21	1.231533e+22
4.267000e+01	1.339523e+02	2.329057e+01	1.881825e+21	1.198930e+22
4.367000e+01	1.345832e+02	2.266660e+01	1.830939e+21	1.166511e+22
4.467000e+01	1.352103e+02	2.204642e+01	1.780362e+21	1.134289e+22
4.567000e+01	1.358334e+02	2.143026e+01	1.730112e+21	1.102275e+22
4.667000e+01	1.364521e+02	2.081836e+01	1.680211e+21	1.070484e+22
4.767000e+01	1.370663e+02	2.021096e+01	1.630676e+21	1.038926e+22
4.867000e+01	1.376757e+02	1.960829e+01	1.581529e+21	1.007614e+22
4.967000e+01	1.382801e+02	1.901060e+01	1.532787e+21	9.765616e+21
5.067000e+01	1.388792e+02	1.841811e+01	1.484471e+21	9.457800e+21
5.167000e+01	1.394727e+02	1.783108e+01	1.436601e+21	9.152821e+21
5.267000e+01	1.400606e+02	1.724972e+01	1.389195e+21	8.850803e+21
5.367000e+01	1.406424e+02	1.667429e+01	1.342273e+21	8.551869e+21
5.467000e+01	1.412180e+02	1.610502e+01	1.295855e+21	8.256144e+21
5.567000e+01	1.417871e+02	1.554214e+01	1.249960e+21	7.963752e+21
5.667000e+01	1.423495e+02	1.498590e+01	1.204607e+21	7.674817e+21
5.767000e+01	1.429050e+02	1.443652e+01	1.159817e+21	7.389465e+21
5.867000e+01	1.434532e+02	1.389425e+01	1.115609e+21	7.107818e+21
5.967000e+01	1.439940e+02	1.335933e+01	1.072002e+21	6.830001e+21
6.067000e+01	1.445272e+02	1.283199e+01	1.029016e+21	6.556138e+21
6.167000e+01	1.450524e+02	1.231247e+01	9.866692e+20	6.286354e+21
6.267000e+01	1.455694e+02	1.180100e+01	9.449827e+20	6.020773e+21
6.367000e+01	1.460781e+02	1.129782e+01	9.039753e+20	5.759518e+21
6.467000e+01	1.465781e+02	1.080318e+01	8.636666e+20	5.502715e+21
6.567000e+01	1.470692e+02	1.031730e+01	8.240761e+20	5.250488e+21
6.667000e+01	1.475512e+02	9.840428e+00	7.852233e+20	5.002960e+21
6.767000e+01	1.480239e+02	9.372797e+00	7.471278e+20	4.760256e+21
6.867000e+01	1.484869e+02	8.914644e+00	7.098089e+20	4.522500e+21
6.967000e+01	1.489401e+02	8.466207e+00	6.732862e+20	4.289817e+21
7.067000e+01	1.493832e+02	8.027724e+00	6.375792e+20	4.062330e+21
7.167000e+01	1.498160e+02	7.599430e+00	6.027074e+20	3.840165e+21
7.267000e+01	1.502382e+02	7.181564e+00	5.686903e+20	3.623444e+21
7.367000e+01	1.506496e+02	6.774363e+00	5.355473e+20	3.412293e+21
7.467000e+01	1.510500e+02	6.378063e+00	5.032981e+20	3.206835e+21
7.567000e+01	1.514391e+02	5.992902e+00	4.719621e+20	3.007195e+21
7.667000e+01	1.518166e+02	5.619117e+00	4.415588e+20	2.813497e+21
7.767000e+01	1.521824e+02	5.256945e+00	4.121077e+20	2.625865e+21
7.867000e+01	1.525361e+02	4.906624e+00	3.836283e+20	2.444424e+21
7.967000e+01	1.528776e+02	4.568391e+00	3.561401e+20	2.269297e+21
8.067000e+01	1.532067e+02	4.242482e+00	3.296626e+20	2.100609e+21
8.167000e+01	1.535229e+02	3.929135e+00	3.042153e+20	1.938485e+21
8.267000e+01	1.538263e+02	3.628586e+00	2.798177e+20	1.783048e+21
8.367000e+01	1.541164e+02	3.341075e+00	2.564893e+20	1.634423e+21
8.467000e+01	1.543930e+02	3.066836e+00	2.342497e+20	1.492733e+21
8.567000e+01	1.546559e+02	2.806108e+00	2.131182e+20	1.358104e+21
8.667000e+01	1.549050e+02	2.559128e+00	1.931144e+20	1.230659e+21
8.767000e+01	1.551398e+02	2.326133e+00	1.742578e+20	1.110522e+21
8.867000e+01	1.553602e+02	2.107359e+00	1.565680e+20	9.978187e+20
8.967000e+01	1.555660e+02	1.903045e+00	1.400643e+20	8.926721e+20
9.067000e+01	1.557568e+02	1.713427e+00	1.247664e+20	7.952068e+20
9.167000e+01	1.559325e+02	1.538743e+00	1.106936e+20	7.055470e+20
9.267000e+01	1.560929e+02	1.379230e+00	9.786560e+19	6.238169e+20
9.367000e+01	1.562376e+02	1.235124e+00	8.630177e+19	5.501408e+20
9.467000e+01	1.563665e+02	1.106663e+00	7.602166e+19	4.846428e+20
9.567000e+01	1.564792e+02	9.940847e-01	6.704475e+19	4.274474e+20
9.667000e+01	1.565756e+02	8.976256e-01	5.939056e+19	3.786785e+20
9.767000e+01	1.566555e+02	8.175229e-01	5.307857e+19	3.384606e+20
9.867000e+01	1.567185e+02	7.540140e-01	4.812829e+19	3.069178e+20
9.967000e+01	1.567644e+02	7.073358e-01	4.455923e+19	2.841743e+20
1.006700e+02	1.567931e+02	6.777257e-01	4.239088e+19	2.703544e+20
1.016700e+02	1.568070e+02	6.626100e-01	4.141160e+19	2.641099e+20
1.026700e+02	1.568189e+02	6.492363e-01	4.057274e+19	2.587600e+20
1.036700e+02	1.568305e+02	6.360120e-01	3.974334e+19	2.534704e+20
